Stagione;Giornata;Home;Away;GH;GA;PntH;PntA
2019-20;1;ACDF;Vanndoria;2;4;71,5;85
2019-20;1;Agghiaggiande;CSKA Moscow Mule;0;1;61,5;68
2019-20;1;Big Black Cimamori;Der Holzfaller;1;1;69;66,5
2019-20;1;FK Partizena;Olympique Bidet;1;0;67;65,5
2019-20;1;Parter;Los Angeles;3;2;78;71,5
2019-20;2;CSKA Moscow Mule;Big Black Cimamori;2;1;72,5;69
2019-20;2;Der Holzfaller;ACDF;1;0;69,5;60
2019-20;2;Los Angeles;Agghiaggiande;2;1;72,5;69,5
2019-20;2;Olympique Bidet;Parter;3;3;78;78,5
2019-20;2;Vanndoria;FK Partizena;1;2;69,5;73
2019-20;3;ACDF;CSKA Moscow Mule;1;1;67;66,5
2019-20;3;Agghiaggiande;Parter;1;0;66;60,5
2019-20;3;Big Black Cimamori;Los Angeles;0;0;61,5;63
2019-20;3;FK Partizena;Der Holzfaller;1;2;70,5;73,5
2019-20;3;Vanndoria;Olympique Bidet;0;0;60,5;63
2019-20;4;CSKA Moscow Mule;FK Partizena;0;2;58,5;74,5
2019-20;4;Der Holzfaller;Vanndoria;4;2;81;74
2019-20;4;Los Angeles;ACDF;1;1;66,5;68,5
2019-20;4;Olympique Bidet;Agghiaggiande;5;4;89;82
2019-20;4;Parter;Big Black Cimamori;3;0;78,5;63
2019-20;5;ACDF;Parter;1;0;70;64
2019-20;5;Big Black Cimamori;Agghiaggiande;0;2;65;74
2019-20;5;Der Holzfaller;Olympique Bidet;1;2;70,5;71,5
2019-20;5;FK Partizena;Los Angeles;2;0;72,5;63,5
2019-20;5;Vanndoria;CSKA Moscow Mule;1;1;67;66,5
2019-20;6;Agghiaggiande;ACDF;2;1;73,5;68,5
2019-20;6;CSKA Moscow Mule;Der Holzfaller;1;0;66,5;65
2019-20;6;Los Angeles;Vanndoria;1;1;69;66
2019-20;6;Olympique Bidet;Big Black Cimamori;2;1;73,5;70
2019-20;6;Parter;FK Partizena;2;0;72;65
2019-20;7;ACDF;Big Black Cimamori;2;1;72;68,5
2019-20;7;CSKA Moscow Mule;Olympique Bidet;1;3;66;76
2019-20;7;Der Holzfaller;Los Angeles;3;1;76;69
2019-20;7;FK Partizena;Agghiaggiande;1;0;69,5;64,5
2019-20;7;Vanndoria;Parter;1;3;68;78,5
2019-20;8;ACDF;Olympique Bidet;0;2;60,5;75,5
2019-20;8;Agghiaggiande;Vanndoria;2;0;72,5;63
2019-20;8;Big Black Cimamori;FK Partizena;0;1;65,5;70,5
2019-20;8;Los Angeles;CSKA Moscow Mule;0;1;63;68
2019-20;8;Parter;Der Holzfaller;4;0;81,5;65
2019-20;9;CSKA Moscow Mule;Parter;0;2;65;73
2019-20;9;Der Holzfaller;Agghiaggiande;0;1;57;69
2019-20;9;FK Partizena;ACDF;0;0;64;62
2019-20;9;Olympique Bidet;Los Angeles;2;0;67,5;50
2019-20;9;Vanndoria;Big Black Cimamori;1;1;70,5;69,5
2019-20;10;CSKA Moscow Mule;Agghiaggiande;2;1;72,5;70,5
2019-20;10;Der Holzfaller;Big Black Cimamori;0;1;63,5;67,5
2019-20;10;Los Angeles;Parter;1;3;67;77,5
2019-20;10;Olympique Bidet;FK Partizena;2;0;75;61,5
2019-20;10;Vanndoria;ACDF;0;3;62,5;78,5
2019-20;11;ACDF;Der Holzfaller;0;0;61;64
2019-20;11;Agghiaggiande;Los Angeles;4;0;81;60,5
2019-20;11;Big Black Cimamori;CSKA Moscow Mule;2;1;74;66,5
2019-20;11;FK Partizena;Vanndoria;0;1;56,5;67,5
2019-20;11;Parter;Olympique Bidet;5;1;90,5;69,5
2019-20;12;CSKA Moscow Mule;ACDF;2;1;74,5;70,5
2019-20;12;Der Holzfaller;FK Partizena;1;1;70;66
2019-20;12;Los Angeles;Big Black Cimamori;2;1;72;66,5
2019-20;12;Olympique Bidet;Vanndoria;2;0;74,5;61
2019-20;12;Parter;Agghiaggiande;2;1;73;66,5
2019-20;13;ACDF;Los Angeles;1;0;69;65,5
2019-20;13;Agghiaggiande;Olympique Bidet;1;1;66;69,5
2019-20;13;Big Black Cimamori;Parter;0;0;65,5;65,5
2019-20;13;FK Partizena;CSKA Moscow Mule;1;1;68,5;69
2019-20;13;Vanndoria;Der Holzfaller;0;0;62;63
2019-20;14;Agghiaggiande;Big Black Cimamori;3;0;79,5;62
2019-20;14;CSKA Moscow Mule;Vanndoria;0;1;61,5;68,5
2019-20;14;Los Angeles;FK Partizena;0;0;60;59
2019-20;14;Olympique Bidet;Der Holzfaller;2;1;72;67,5
2019-20;14;Parter;ACDF;2;0;71;64,5
2019-20;15;ACDF;Agghiaggiande;1;1;67,5;66
2019-20;15;Big Black Cimamori;Olympique Bidet;0;1;63;69,5
2019-20;15;Der Holzfaller;CSKA Moscow Mule;4;0;84;64
2019-20;15;FK Partizena;Parter;1;6;67;93
2019-20;15;Vanndoria;Los Angeles;2;0;74,5;59,5
2019-20;16;Agghiaggiande;FK Partizena;3;1;77,5;70,5
2019-20;16;Big Black Cimamori;ACDF;1;4;68;82
2019-20;16;Los Angeles;Der Holzfaller;1;3;68;79,5
2019-20;16;Olympique Bidet;CSKA Moscow Mule;1;0;69,5;59,5
2019-20;16;Parter;Vanndoria;1;1;68;68,5
2019-20;17;CSKA Moscow Mule;Los Angeles;2;1;73,5;68,5
2019-20;17;Der Holzfaller;Parter;1;2;68,5;73,5
2019-20;17;FK Partizena;Big Black Cimamori;1;0;69,5;62,5
2019-20;17;Olympique Bidet;ACDF;1;1;67;68
2019-20;17;Vanndoria;Agghiaggiande;0;2;56,5;71,5
2019-20;18;ACDF;FK Partizena;1;2;67;73
2019-20;18;Agghiaggiande;Der Holzfaller;2;0;73,5;65,5
2019-20;18;Big Black Cimamori;Vanndoria;0;0;61;65,5
2019-20;18;Los Angeles;Olympique Bidet;0;4;60;81,5
2019-20;18;Parter;CSKA Moscow Mule;2;1;71,5;70,5
2019-20;19;ACDF;Vanndoria;1;2;66;71
2019-20;19;Agghiaggiande;CSKA Moscow Mule;0;1;62,5;66,5
2019-20;19;Big Black Cimamori;Der Holzfaller;1;4;70;85,5
2019-20;19;FK Partizena;Olympique Bidet;1;0;69,5;63
2019-20;19;Parter;Los Angeles;0;0;65;54
2019-20;20;CSKA Moscow Mule;Big Black Cimamori;1;3;69;78,5
2019-20;20;Der Holzfaller;ACDF;1;1;70;69
2019-20;20;Los Angeles;Agghiaggiande;0;4;64,5;81,5
2019-20;20;Olympique Bidet;Parter;3;2;80,5;72
2019-20;20;Vanndoria;FK Partizena;0;1;62;69
2019-20;21;ACDF;CSKA Moscow Mule;0;1;65,5;70,5
2019-20;21;Agghiaggiande;Parter;1;0;66;60,5
2019-20;21;Big Black Cimamori;Los Angeles;1;3;69;76,5
2019-20;21;FK Partizena;Der Holzfaller;1;2;68;73,5
2019-20;21;Vanndoria;Olympique Bidet;0;0;62,5;63
2019-20;22;CSKA Moscow Mule;FK Partizena;2;3;71;77,5
2019-20;22;Der Holzfaller;Vanndoria;1;0;68;65,5
2019-20;22;Los Angeles;ACDF;0;0;65;63,5
2019-20;22;Olympique Bidet;Agghiaggiande;1;2;68,5;71
2019-20;22;Parter;Big Black Cimamori;0;0;65,5;63
2020-21;1;Big Black Cimamori;Parter;2;1;75,5;66,5
2020-21;1;CSKA Moscow Mule;ACDF;2;4;73,5;85
2020-21;1;Der Holzfaller;Vanndoria;2;3;74,5;76,5
2020-21;1;FK Partizena;Agghiaggiande;2;1;72,5;66,5
2020-21;1;Olympique Bidet;Los Angeles;3;1;78;66,5
2020-21;2;ACDF;Der Holzfaller;2;0;73,5;62
2020-21;2;Agghiaggiande;Olympique Bidet;0;0;59,5;64,5
2020-21;2;Los Angeles;Big Black Cimamori;3;3;76,5;80
2020-21;2;Parter;CSKA Moscow Mule;3;4;78;81
2020-21;2;Vanndoria;FK Partizena;1;1;69,5;68,5
2020-21;3;Big Black Cimamori;Olympique Bidet;2;2;73,5;75,5
2020-21;3;CSKA Moscow Mule;Los Angeles;1;3;69,5;79,5
2020-21;3;Der Holzfaller;Parter;2;3;73;80
2020-21;3;FK Partizena;ACDF;4;2;84;71
2020-21;3;Vanndoria;Agghiaggiande;2;0;72;64
2020-21;4;ACDF;Vanndoria;2;0;72;65,5
2020-21;4;Agghiaggiande;Big Black Cimamori;3;0;80,5;63
2020-21;4;Los Angeles;Der Holzfaller;3;2;76,5;74
2020-21;4;Olympique Bidet;CSKA Moscow Mule;4;1;81;68
2020-21;4;Parter;FK Partizena;0;1;64;70
2020-21;5;ACDF;Agghiaggiande;0;0;61,5;64
2020-21;5;CSKA Moscow Mule;Big Black Cimamori;4;2;83;71,5
2020-21;5;Der Holzfaller;Olympique Bidet;0;1;62;68
2020-21;5;FK Partizena;Los Angeles;1;1;68,5;70,5
2020-21;5;Vanndoria;Parter;0;0;61,5;62
2020-21;6;Agghiaggiande;CSKA Moscow Mule;2;2;75;75,5
2020-21;6;Big Black Cimamori;Der Holzfaller;1;2;67;71
2020-21;6;Los Angeles;Vanndoria;2;0;72,5;63,5
2020-21;6;Olympique Bidet;FK Partizena;2;0;75;63,5
2020-21;6;Parter;ACDF;2;1;73;70,5
2020-21;7;ACDF;Los Angeles;2;0;75;64,5
2020-21;7;Der Holzfaller;CSKA Moscow Mule;0;1;64,5;67
2020-21;7;FK Partizena;Big Black Cimamori;1;3;67;78
2020-21;7;Parter;Agghiaggiande;1;1;69,5;68,5
2020-21;7;Vanndoria;Olympique Bidet;1;0;66,5;64
2020-21;8;Big Black Cimamori;Vanndoria;1;1;69;67
2020-21;8;CSKA Moscow Mule;FK Partizena;0;1;65;69,5
2020-21;8;Der Holzfaller;Agghiaggiande;2;2;75;72
2020-21;8;Los Angeles;Parter;2;1;72;70,5
2020-21;8;Olympique Bidet;ACDF;4;1;81,5;66
2020-21;9;ACDF;Big Black Cimamori;3;1;77,5;69,5
2020-21;9;Agghiaggiande;Los Angeles;3;0;78,5;59,5
2020-21;9;FK Partizena;Der Holzfaller;0;3;64,5;79,5
2020-21;9;Parter;Olympique Bidet;0;0;59,5;61
2020-21;9;Vanndoria;CSKA Moscow Mule;1;4;66;82
2020-21;10;ACDF;CSKA Moscow Mule;0;3;64,5;78
2020-21;10;Agghiaggiande;FK Partizena;0;0;65,5;61,5
2020-21;10;Los Angeles;Olympique Bidet;0;1;65;70
2020-21;10;Parter;Big Black Cimamori;1;0;66,5;62
2020-21;10;Vanndoria;Der Holzfaller;3;0;78,5;63
2020-21;11;Big Black Cimamori;Los Angeles;0;1;63;70,5
2020-21;11;CSKA Moscow Mule;Parter;2;2;75,5;74,5
2020-21;11;Der Holzfaller;ACDF;2;3;73;76,5
2020-21;11;FK Partizena;Vanndoria;0;2;61;72
2020-21;11;Olympique Bidet;Agghiaggiande;3;2;76;74,5
2020-21;12;ACDF;FK Partizena;3;1;77,5;69
2020-21;12;Agghiaggiande;Vanndoria;0;2;59;72,5
2020-21;12;Los Angeles;CSKA Moscow Mule;0;5;52;83,5
2020-21;12;Olympique Bidet;Big Black Cimamori;2;2;73,5;73
2020-21;12;Parter;Der Holzfaller;1;1;69;67,5
2020-21;13;Big Black Cimamori;Agghiaggiande;6;4;93;84
2020-21;13;CSKA Moscow Mule;Olympique Bidet;1;1;66;66,5
2020-21;13;Der Holzfaller;Los Angeles;4;0;82;62,5
2020-21;13;FK Partizena;Parter;1;2;68;71
2020-21;13;Vanndoria;ACDF;2;1;74,5;68,5
2020-21;14;Agghiaggiande;ACDF;2;2;72;71,5
2020-21;14;Big Black Cimamori;CSKA Moscow Mule;1;2;68;72,5
2020-21;14;Los Angeles;FK Partizena;0;0;64;62,5
2020-21;14;Olympique Bidet;Der Holzfaller;4;2;81;73,5
2020-21;14;Parter;Vanndoria;1;2;68;75,5
2020-21;15;ACDF;Parter;2;1;71,5;67,5
2020-21;15;CSKA Moscow Mule;Agghiaggiande;2;1;72;66,5
2020-21;15;Der Holzfaller;Big Black Cimamori;3;1;79,5;70
2020-21;15;FK Partizena;Olympique Bidet;2;0;75;64
2020-21;15;Vanndoria;Los Angeles;3;1;76;67
2020-21;16;Agghiaggiande;Parter;1;3;68;77
2020-21;16;Big Black Cimamori;FK Partizena;7;0;95,5;52,5
2020-21;16;CSKA Moscow Mule;Der Holzfaller;0;1;60;70,5
2020-21;16;Los Angeles;ACDF;2;1;75;68,5
2020-21;16;Olympique Bidet;Vanndoria;2;0;74;64
2020-21;17;ACDF;Olympique Bidet;0;2;65,5;72,5
2020-21;17;Agghiaggiande;Der Holzfaller;3;2;76;74
2020-21;17;FK Partizena;CSKA Moscow Mule;4;2;82,5;72
2020-21;17;Parter;Los Angeles;1;0;66;64
2020-21;17;Vanndoria;Big Black Cimamori;1;0;70,5;60
2020-21;18;Big Black Cimamori;ACDF;2;2;73,5;73,5
2020-21;18;CSKA Moscow Mule;Vanndoria;2;2;73,5;73,5
2020-21;18;Der Holzfaller;FK Partizena;1;0;66;58
2020-21;18;Los Angeles;Agghiaggiande;1;1;67,5;69,5
2020-21;18;Olympique Bidet;Parter;2;4;75,5;84,5
2020-21;19;Big Black Cimamori;Parter;1;1;66,5;67
2020-21;19;CSKA Moscow Mule;ACDF;0;2;61,5;75
2020-21;19;Der Holzfaller;Vanndoria;2;3;72,5;80,5
2020-21;19;FK Partizena;Agghiaggiande;3;2;76;73
2020-21;19;Olympique Bidet;Los Angeles;3;2;78;71
2020-21;20;ACDF;Der Holzfaller;0;1;64;66
2020-21;20;Agghiaggiande;Olympique Bidet;0;2;62,5;74
2020-21;20;Los Angeles;Big Black Cimamori;0;2;63;71,5
2020-21;20;Parter;CSKA Moscow Mule;2;2;75;73,5
2020-21;20;Vanndoria;FK Partizena;2;2;71;71
2020-21;21;Big Black Cimamori;Olympique Bidet;2;1;73,5;69
2020-21;21;CSKA Moscow Mule;Los Angeles;1;0;70;64,5
2020-21;21;Der Holzfaller;Parter;1;2;67,5;75
2020-21;21;FK Partizena;ACDF;4;0;85,5;63
2020-21;21;Vanndoria;Agghiaggiande;4;4;82;84,5
2020-21;22;ACDF;Vanndoria;0;0;65;62,5
2020-21;22;Agghiaggiande;Big Black Cimamori;2;2;72,5;71,5
2020-21;22;Los Angeles;Der Holzfaller;2;2;73;75,5
2020-21;22;Olympique Bidet;CSKA Moscow Mule;0;2;63,5;71
2020-21;22;Parter;FK Partizena;2;2;75;71,5
2020-21;23;ACDF;Agghiaggiande;0;2;58;74,5
2020-21;23;CSKA Moscow Mule;Big Black Cimamori;2;1;72;67
2020-21;23;Der Holzfaller;Olympique Bidet;4;1;82;69,5
2020-21;23;FK Partizena;Los Angeles;3;2;77,5;72,5
2020-21;23;Vanndoria;Parter;2;1;71;70,5
2020-21;24;Agghiaggiande;CSKA Moscow Mule;1;1;66;66
2020-21;24;Big Black Cimamori;Der Holzfaller;4;1;82,5;70
2020-21;24;Los Angeles;Vanndoria;3;1;77;69,5
2020-21;24;Olympique Bidet;FK Partizena;0;2;65,5;71,5
2020-21;24;Parter;ACDF;4;0;81,5;65,5
2020-21;25;ACDF;Los Angeles;0;0;64;62
2020-21;25;Der Holzfaller;CSKA Moscow Mule;1;1;69,5;69
2020-21;25;FK Partizena;Big Black Cimamori;3;2;79;72,5
2020-21;25;Parter;Agghiaggiande;3;4;76,5;81
2020-21;25;Vanndoria;Olympique Bidet;3;0;80;64
2020-21;26;Big Black Cimamori;Vanndoria;2;0;74;63
2020-21;26;CSKA Moscow Mule;FK Partizena;1;0;68;62
2020-21;26;Der Holzfaller;Agghiaggiande;1;1;66;70
2020-21;26;Los Angeles;Parter;1;2;66,5;71
2020-21;26;Olympique Bidet;ACDF;1;1;68,5;69
2020-21;27;ACDF;Big Black Cimamori;0;0;64;61
2020-21;27;Agghiaggiande;Los Angeles;1;0;69,5;64
2020-21;27;FK Partizena;Der Holzfaller;3;3;77,5;77
2020-21;27;Parter;Olympique Bidet;2;2;71;72
2020-21;27;Vanndoria;CSKA Moscow Mule;3;2;76;72,5
2020-21;28;ACDF;CSKA Moscow Mule;2;2;74,5;74,5
2020-21;28;Agghiaggiande;FK Partizena;2;1;74,5;66
2020-21;28;Los Angeles;Olympique Bidet;1;1;68,5;69
2020-21;28;Parter;Big Black Cimamori;1;3;67,5;76,5
2020-21;28;Vanndoria;Der Holzfaller;2;2;73,5;74,5
2020-21;29;Big Black Cimamori;Los Angeles;1;0;69,5;64
2020-21;29;CSKA Moscow Mule;Parter;0;2;64,5;71,5
2020-21;29;Der Holzfaller;ACDF;1;1;70;69,5
2020-21;29;FK Partizena;Vanndoria;0;2;63,5;73,5
2020-21;29;Olympique Bidet;Agghiaggiande;3;0;77,5;65,5
2020-21;30;ACDF;FK Partizena;0;1;63,5;68
2020-21;30;Agghiaggiande;Vanndoria;3;1;76;70,5
2020-21;30;Los Angeles;CSKA Moscow Mule;1;1;69;70
2020-21;30;Olympique Bidet;Big Black Cimamori;1;2;70;74,5
2020-21;30;Parter;Der Holzfaller;1;1;66,5;69,5
2020-21;31;Big Black Cimamori;Agghiaggiande;2;0;72,5;63,5
2020-21;31;CSKA Moscow Mule;Olympique Bidet;2;2;73,5;72,5
2020-21;31;Der Holzfaller;Los Angeles;4;1;85,5;70
2020-21;31;FK Partizena;Parter;2;1;72;70,5
2020-21;31;Vanndoria;ACDF;0;0;62,5;62,5
2020-21;32;Agghiaggiande;ACDF;1;3;68,5;79
2020-21;32;Big Black Cimamori;CSKA Moscow Mule;1;2;67,5;71
2020-21;32;Los Angeles;FK Partizena;1;0;69,5;60,5
2020-21;32;Olympique Bidet;Der Holzfaller;3;1;79;70
2020-21;32;Parter;Vanndoria;1;3;67;78
2020-21;33;ACDF;Parter;2;2;75,5;72
2020-21;33;CSKA Moscow Mule;Agghiaggiande;3;0;77,5;60,5
2020-21;33;Der Holzfaller;Big Black Cimamori;4;2;82,5;75,5
2020-21;33;FK Partizena;Olympique Bidet;4;0;81,5;65
2020-21;33;Vanndoria;Los Angeles;3;0;78;62
2020-21;34;Agghiaggiande;Parter;2;3;74,5;76,5
2020-21;34;Big Black Cimamori;FK Partizena;4;2;81;73
2020-21;34;CSKA Moscow Mule;Der Holzfaller;0;1;64,5;67
2020-21;34;Los Angeles;ACDF;2;2;73,5;75
2020-21;34;Olympique Bidet;Vanndoria;3;3;78;76
2020-21;35;ACDF;Olympique Bidet;1;0;67,5;55,5
2020-21;35;Agghiaggiande;Der Holzfaller;2;2;75,5;72,5
2020-21;35;FK Partizena;CSKA Moscow Mule;1;2;67,5;72,5
2020-21;35;Parter;Los Angeles;4;0;83;58,5
2020-21;35;Vanndoria;Big Black Cimamori;1;2;66;72
2020-21;36;Big Black Cimamori;ACDF;0;1;59,5;66
2020-21;36;CSKA Moscow Mule;Vanndoria;3;1;77,5;66
2020-21;36;Der Holzfaller;FK Partizena;1;1;66,5;70
2020-21;36;Los Angeles;Agghiaggiande;0;2;64,5;73,5
