Stagione;Giornata;Home;Away;GH;GA;PntH;PntA
2020-21;36;Olympique Bidet;Parter;2;2;74;75,5
2021-22;1;ACDF;Los Angeles;2;1;73;66,5
2021-22;1;Big Black Cimamori;Agghiaggiande;1;1;69,5;68,5
2021-22;1;CSKA Moscow Mule;Parter;3;2;79,5;71,5
2021-22;1;FK Partizena;Der Holzfaller;2;0;74;62
2021-22;1;Vanndoria;Olympique Bidet;0;1;63;70,5
2021-22;2;Agghiaggiande;FK Partizena;1;2;70,5;74
2021-22;2;Der Holzfaller;ACDF;2;2;71;74
2021-22;2;Los Angeles;CSKA Moscow Mule;0;3;64,5;76,5
2021-22;2;Olympique Bidet;Big Black Cimamori;3;2;76;72
2021-22;2;Parter;Vanndoria;1;2;66;73
2021-22;3;ACDF;FK Partizena;1;2;66,5;73,5
2021-22;3;Big Black Cimamori;Parter;4;1;82;70,5
2021-22;3;CSKA Moscow Mule;Der Holzfaller;0;4;62,5;84,5
2021-22;3;Olympique Bidet;Agghiaggiande;1;1;66;69,5
2021-22;3;Vanndoria;Los Angeles;2;1;73;67,5
2021-22;4;Agghiaggiande;ACDF;2;1;72,5;68
2021-22;4;Der Holzfaller;Vanndoria;2;1;72;66,5
2021-22;4;FK Partizena;CSKA Moscow Mule;1;1;68;67
2021-22;4;Los Angeles;Big Black Cimamori;2;2;72,5;72,5
2021-22;4;Parter;Olympique Bidet;2;2;71;72
2021-22;5;Big Black Cimamori;Der Holzfaller;0;2;63,5;72
2021-22;5;CSKA Moscow Mule;ACDF;1;2;69,5;72
2021-22;5;Olympique Bidet;Los Angeles;0;1;62,5;70,5
2021-22;5;Parter;Agghiaggiande;1;2;67,5;74,5
2021-22;5;Vanndoria;FK Partizena;3;1;79;67
2021-22;6;ACDF;Vanndoria;2;4;72,5;81
2021-22;6;Agghiaggiande;CSKA Moscow Mule;1;1;66,5;67
2021-22;6;Der Holzfaller;Olympique Bidet;2;2;71;74,5
2021-22;6;FK Partizena;Big Black Cimamori;1;0;70;58,5
2021-22;6;Los Angeles;Parter;2;0;71;64,5
2021-22;7;Big Black Cimamori;ACDF;0;1;64;69,5
2021-22;7;Los Angeles;Agghiaggiande;0;2;60;73
2021-22;7;Olympique Bidet;FK Partizena;1;2;66,5;72
2021-22;7;Parter;Der Holzfaller;1;2;70,5;75,5
2021-22;7;Vanndoria;CSKA Moscow Mule;0;2;64;71
2021-22;8;ACDF;Olympique Bidet;2;1;72,5;67
2021-22;8;CSKA Moscow Mule;Big Black Cimamori;2;2;71;72,5
2021-22;8;Der Holzfaller;Los Angeles;2;0;72;64,5
2021-22;8;FK Partizena;Parter;3;0;77;65
2021-22;8;Vanndoria;Agghiaggiande;2;2;74,5;72
2021-22;9;Agghiaggiande;Der Holzfaller;0;1;61;68
2021-22;9;Big Black Cimamori;Vanndoria;2;0;74,5;61,5
2021-22;9;Los Angeles;FK Partizena;1;0;68;64,5
2021-22;9;Olympique Bidet;CSKA Moscow Mule;3;2;80;75,5
2021-22;9;Parter;ACDF;2;1;75;69,5
2021-22;10;Agghiaggiande;Big Black Cimamori;1;1;70;67,5
2021-22;10;Der Holzfaller;FK Partizena;2;2;74,5;74,5
2021-22;10;Los Angeles;ACDF;0;3;65;80
2021-22;10;Olympique Bidet;Vanndoria;2;2;72;72,5
2021-22;10;Parter;CSKA Moscow Mule;0;1;64;66
2021-22;11;ACDF;Der Holzfaller;1;2;69;74
2021-22;11;Big Black Cimamori;Olympique Bidet;1;2;66,5;72,5
2021-22;11;CSKA Moscow Mule;Los Angeles;1;2;69;73
2021-22;11;FK Partizena;Agghiaggiande;0;0;61,5;63,5
2021-22;11;Vanndoria;Parter;3;2;78,5;72
2021-22;12;Agghiaggiande;Olympique Bidet;0;0;61,5;63,5
2021-22;12;Der Holzfaller;CSKA Moscow Mule;2;1;74;67
2021-22;12;FK Partizena;ACDF;1;1;67,5;70,5
2021-22;12;Los Angeles;Vanndoria;0;2;63;73,5
2021-22;12;Parter;Big Black Cimamori;1;3;68,5;78
2021-22;13;ACDF;Agghiaggiande;2;0;74;65,5
2021-22;13;Big Black Cimamori;Los Angeles;0;1;63,5;68,5
2021-22;13;CSKA Moscow Mule;FK Partizena;3;2;80;75,5
2021-22;13;Olympique Bidet;Parter;1;1;67;70,5
2021-22;13;Vanndoria;Der Holzfaller;4;2;83;74,5
2021-22;14;ACDF;CSKA Moscow Mule;2;0;72,5;63,5
2021-22;14;Agghiaggiande;Parter;2;4;71,5;82
2021-22;14;Der Holzfaller;Big Black Cimamori;0;0;63,5;64
2021-22;14;FK Partizena;Vanndoria;2;1;75;66,5
2021-22;14;Los Angeles;Olympique Bidet;2;3;71;76,5
2021-22;15;Big Black Cimamori;FK Partizena;1;2;66,5;73
2021-22;15;CSKA Moscow Mule;Agghiaggiande;2;1;72,5;69
2021-22;15;Olympique Bidet;Der Holzfaller;1;3;68;79
2021-22;15;Parter;Los Angeles;2;3;75;76
2021-22;15;Vanndoria;ACDF;1;3;70,5;76,5
2021-22;16;ACDF;Big Black Cimamori;2;2;73;75
2021-22;16;Agghiaggiande;Los Angeles;2;0;75;63,5
2021-22;16;CSKA Moscow Mule;Vanndoria;2;2;74;74,5
2021-22;16;Der Holzfaller;Parter;1;2;70;73,5
2021-22;16;FK Partizena;Olympique Bidet;0;3;58;79,5
2021-22;17;Agghiaggiande;Vanndoria;1;2;70,5;75,5
2021-22;17;Big Black Cimamori;CSKA Moscow Mule;1;1;69,5;69,5
2021-22;17;Los Angeles;Der Holzfaller;1;1;70,5;69,5
2021-22;17;Olympique Bidet;ACDF;2;0;75;63
2021-22;17;Parter;FK Partizena;0;0;62;64,5
2021-22;19;ACDF;Los Angeles;2;0;68;49,5
2021-22;19;Big Black Cimamori;Agghiaggiande;0;2;65;72
2021-22;19;CSKA Moscow Mule;Parter;1;0;68;65
2021-22;19;FK Partizena;Der Holzfaller;0;1;59;70
2021-22;19;Vanndoria;Olympique Bidet;1;2;69;71,5
2021-22;20;Agghiaggiande;FK Partizena;1;1;69;69,5
2021-22;20;Der Holzfaller;ACDF;2;2;75;75,5
2021-22;20;Los Angeles;CSKA Moscow Mule;1;3;70,5;77,5
2021-22;20;Olympique Bidet;Big Black Cimamori;2;0;73,5;65,5
2021-22;20;Parter;Vanndoria;0;0;65,5;62
2021-22;21;ACDF;FK Partizena;1;1;69,5;66,5
2021-22;21;Big Black Cimamori;Parter;4;0;82,5;65,5
2021-22;21;CSKA Moscow Mule;Der Holzfaller;1;1;68,5;68,5
2021-22;21;Olympique Bidet;Agghiaggiande;1;1;69;67,5
2021-22;21;Vanndoria;Los Angeles;0;0;62;64
2021-22;22;Agghiaggiande;ACDF;2;1;71,5;70
2021-22;22;Der Holzfaller;Vanndoria;1;0;67,5;59
2021-22;22;FK Partizena;CSKA Moscow Mule;0;2;65;73
2021-22;22;Los Angeles;Big Black Cimamori;2;0;71;59,5
2021-22;22;Parter;Olympique Bidet;2;2;72,5;71,5
2021-22;23;Big Black Cimamori;Der Holzfaller;2;1;71,5;70,5
2021-22;23;CSKA Moscow Mule;ACDF;2;2;72;72
2021-22;23;Olympique Bidet;Los Angeles;1;0;69;63
2021-22;23;Parter;Agghiaggiande;1;3;67,5;77,5
2021-22;23;Vanndoria;FK Partizena;1;0;66;64,5
2021-22;24;ACDF;Vanndoria;2;0;72;61
2021-22;24;Agghiaggiande;CSKA Moscow Mule;2;1;72,5;67,5
2021-22;24;Der Holzfaller;Olympique Bidet;1;0;67;56,5
2021-22;24;FK Partizena;Big Black Cimamori;1;0;69,5;63
2021-22;24;Los Angeles;Parter;1;0;69,5;62,5
2021-22;25;Big Black Cimamori;ACDF;1;1;68;68,5
2021-22;25;Los Angeles;Agghiaggiande;1;0;66;63
2021-22;25;Olympique Bidet;FK Partizena;0;4;62,5;84,5
2021-22;25;Parter;Der Holzfaller;3;1;78,5;66
2021-22;25;Vanndoria;CSKA Moscow Mule;0;1;63;68,5
2021-22;26;ACDF;Olympique Bidet;0;1;65,5;69,5
2021-22;26;CSKA Moscow Mule;Big Black Cimamori;1;2;70;72
2021-22;26;Der Holzfaller;Los Angeles;0;3;64;77,5
2021-22;26;FK Partizena;Parter;0;2;62;71,5
2021-22;26;Vanndoria;Agghiaggiande;4;2;81;73
2021-22;27;Agghiaggiande;Der Holzfaller;2;2;71;72,5
2021-22;27;Big Black Cimamori;Vanndoria;0;1;60;68,5
2021-22;27;Los Angeles;FK Partizena;1;1;69,5;68
2021-22;27;Olympique Bidet;CSKA Moscow Mule;2;1;71,5;67
2021-22;27;Parter;ACDF;1;1;69,5;69,5
2021-22;28;Agghiaggiande;Big Black Cimamori;1;2;68,5;74
2021-22;28;Der Holzfaller;FK Partizena;2;0;74;65
2021-22;28;Los Angeles;ACDF;1;1;70,5;68
2021-22;28;Olympique Bidet;Vanndoria;0;0;63;63,5
2021-22;28;Parter;CSKA Moscow Mule;2;0;71;63,5
2021-22;29;ACDF;Der Holzfaller;1;0;68;62
2021-22;29;Big Black Cimamori;Olympique Bidet;1;1;69,5;68,5
2021-22;29;CSKA Moscow Mule;Los Angeles;2;0;75,5;62
2021-22;29;FK Partizena;Agghiaggiande;3;0;76;64
2021-22;29;Vanndoria;Parter;3;1;80;69
2021-22;30;Agghiaggiande;Olympique Bidet;2;4;73,5;81
2021-22;30;Der Holzfaller;CSKA Moscow Mule;2;1;72,5;66
2021-22;30;FK Partizena;ACDF;2;3;72,5;77,5
2021-22;30;Los Angeles;Vanndoria;0;0;65,5;64
2021-22;30;Parter;Big Black Cimamori;1;1;69,5;67
2021-22;31;ACDF;Agghiaggiande;2;1;71;66
2021-22;31;Big Black Cimamori;Los Angeles;1;1;68;66,5
2021-22;31;CSKA Moscow Mule;FK Partizena;1;2;70;71
2021-22;31;Olympique Bidet;Parter;0;0;64;65
2021-22;31;Vanndoria;Der Holzfaller;1;0;70,5;62
2021-22;32;ACDF;CSKA Moscow Mule;3;3;77;76
2021-22;32;Agghiaggiande;Parter;0;0;60,5;63,5
2021-22;32;Der Holzfaller;Big Black Cimamori;0;1;64;67,5
2021-22;32;FK Partizena;Vanndoria;1;1;70,5;70
2021-22;32;Los Angeles;Olympique Bidet;1;0;68;65
2021-22;33;Big Black Cimamori;FK Partizena;2;1;73;68
2021-22;33;CSKA Moscow Mule;Agghiaggiande;3;1;76,5;67
2021-22;33;Olympique Bidet;Der Holzfaller;3;2;78;74
2021-22;33;Parter;Los Angeles;0;0;63,5;61,5
2021-22;33;Vanndoria;ACDF;3;2;79,5;73,5
2021-22;34;ACDF;Big Black Cimamori;1;0;70;60
2021-22;34;Agghiaggiande;Los Angeles;2;2;72;74
2021-22;34;CSKA Moscow Mule;Vanndoria;3;4;78,5;83
2021-22;34;Der Holzfaller;Parter;1;1;67;68
2021-22;34;FK Partizena;Olympique Bidet;1;1;70;67,5
2021-22;35;Agghiaggiande;Vanndoria;0;3;57;76
2021-22;35;Big Black Cimamori;CSKA Moscow Mule;1;1;69,5;66
2021-22;35;Los Angeles;Der Holzfaller;3;2;77,5;72
2021-22;35;Olympique Bidet;ACDF;0;1;61;68
2021-22;35;Parter;FK Partizena;2;1;71,5;66,5
2021-22;36;ACDF;Parter;2;1;71;68,5
2021-22;36;CSKA Moscow Mule;Olympique Bidet;1;0;66;65,5
2021-22;36;Der Holzfaller;Agghiaggiande;2;0;72,5;59,5
2021-22;36;FK Partizena;Los Angeles;3;2;77;73
2021-22;36;Vanndoria;Big Black Cimamori;0;3;62,5;78,5
2022-23;1;ACDF;Big Black Cimamori;3;2;79;74,5
2022-23;1;Agghiaggiande;Parter;1;2;67;71
2022-23;1;CSKA Moscow Mule;Los Angeles;3;0;76;60
2022-23;1;Der Holzfaller;Vanndoria;1;2;66;71
2022-23;1;Olympique Bidet;FK Partizena;2;0;74;57,5
2022-23;2;Big Black Cimamori;Olympique Bidet;1;1;68,5;69,5
2022-23;2;FK Partizena;Agghiaggiande;0;2;61,5;71
2022-23;2;Los Angeles;ACDF;2;3;71;78,5
2022-23;2;Parter;Der Holzfaller;2;0;75;64,5
2022-23;2;Vanndoria;CSKA Moscow Mule;2;1;74,5;68,5
2022-23;3;Agghiaggiande;Big Black Cimamori;2;2;73,5;72,5
2022-23;3;CSKA Moscow Mule;Parter;0;0;65;65,5
2022-23;3;Der Holzfaller;FK Partizena;0;0;65;58
2022-23;3;Olympique Bidet;ACDF;2;4;72;83
2022-23;3;Vanndoria;Los Angeles;1;1;69;67
2022-23;4;ACDF;Agghiaggiande;1;3;66;79,5
2022-23;4;Big Black Cimamori;Der Holzfaller;1;1;67,5;69
2022-23;4;FK Partizena;CSKA Moscow Mule;1;1;69,5;67,5
2022-23;4;Los Angeles;Olympique Bidet;2;2;71;75
2022-23;4;Parter;Vanndoria;1;1;69,5;70
2022-23;5;Agghiaggiande;Olympique Bidet;0;2;65,5;75
2022-23;5;CSKA Moscow Mule;Big Black Cimamori;1;0;68;60
2022-23;5;Der Holzfaller;ACDF;1;1;68,5;70,5
2022-23;5;Parter;Los Angeles;0;1;59,5;66,5
2022-23;5;Vanndoria;FK Partizena;2;0;71;61
2022-23;6;ACDF;CSKA Moscow Mule;2;3;72,5;76,5
2022-23;6;Big Black Cimamori;Vanndoria;2;2;75;71
2022-23;6;FK Partizena;Parter;2;3;73;76
2022-23;6;Los Angeles;Agghiaggiande;2;1;72;68
2022-23;6;Olympique Bidet;Der Holzfaller;1;0;69,5;63,5
2022-23;7;CSKA Moscow Mule;Olympique Bidet;1;0;70;62,5
2022-23;7;Der Holzfaller;Agghiaggiande;0;3;64,5;76
2022-23;7;FK Partizena;Los Angeles;2;1;74;67,5
2022-23;7;Parter;Big Black Cimamori;0;1;63,5;66
2022-23;7;Vanndoria;ACDF;1;3;68,5;79
2022-23;8;ACDF;Parter;2;2;72,5;71
2022-23;8;Agghiaggiande;CSKA Moscow Mule;0;2;63;75
2022-23;8;Big Black Cimamori;FK Partizena;0;1;65,5;67
2022-23;8;Der Holzfaller;Los Angeles;2;2;71,5;74,5
2022-23;8;Olympique Bidet;Vanndoria;0;2;65,5;75
2022-23;9;CSKA Moscow Mule;Der Holzfaller;0;1;63,5;70,5
2022-23;9;FK Partizena;ACDF;1;1;67,5;69,5
2022-23;9;Los Angeles;Big Black Cimamori;1;2;70,5;75,5
2022-23;9;Parter;Olympique Bidet;0;2;65,5;71
2022-23;9;Vanndoria;Agghiaggiande;1;3;69,5;77
2022-23;10;Big Black Cimamori;ACDF;0;2;65;72,5
2022-23;10;FK Partizena;Olympique Bidet;1;2;69;71
2022-23;10;Los Angeles;CSKA Moscow Mule;1;2;68;71
2022-23;10;Parter;Agghiaggiande;1;1;66;70
2022-23;10;Vanndoria;Der Holzfaller;1;3;67;80
2022-23;11;ACDF;Los Angeles;2;1;73;68
2022-23;11;Agghiaggiande;FK Partizena;0;3;61,5;77,5
2022-23;11;CSKA Moscow Mule;Vanndoria;0;2;58,5;73
2022-23;11;Der Holzfaller;Parter;2;0;74;65,5
2022-23;11;Olympique Bidet;Big Black Cimamori;0;0;65,5;64,5
2022-23;12;ACDF;Olympique Bidet;2;3;74;78,5
2022-23;12;Big Black Cimamori;Agghiaggiande;2;2;72;72,5
2022-23;12;FK Partizena;Der Holzfaller;3;0;76,5;63,5
2022-23;12;Los Angeles;Vanndoria;3;2;80,5;75,5
2022-23;12;Parter;CSKA Moscow Mule;2;0;72,5;62
2022-23;13;Agghiaggiande;ACDF;2;3;75;80,5
2022-23;13;CSKA Moscow Mule;FK Partizena;1;0;66;65,5
2022-23;13;Der Holzfaller;Big Black Cimamori;1;0;67;64
2022-23;13;Olympique Bidet;Los Angeles;1;1;67,5;69,5
2022-23;13;Vanndoria;Parter;4;1;84;69,5
2022-23;14;ACDF;Der Holzfaller;1;0;69,5;64
2022-23;14;Olympique Bidet;Agghiaggiande;0;2;65;71
2022-23;14;Los Angeles;Parter;0;0;65;63
2022-23;14;Big Black Cimamori;CSKA Moscow Mule;0;1;58,5;70,5
2022-23;14;FK Partizena;Vanndoria;0;2;64,5;75
2022-23;15;Der Holzfaller;Olympique Bidet;0;1;64,5;68
2022-23;15;CSKA Moscow Mule;ACDF;1;2;67;72,5
2022-23;15;Vanndoria;Big Black Cimamori;1;1;70,5;69
2022-23;15;Agghiaggiande;Los Angeles;1;0;68,5;61,5
2022-23;15;Parter;FK Partizena;0;1;65;70,5
2022-23;16;Olympique Bidet;CSKA Moscow Mule;1;4;67;81,5
2022-23;16;Agghiaggiande;Der Holzfaller;2;1;72;70,5
2022-23;16;Big Black Cimamori;Parter;0;1;65;70,5
2022-23;16;ACDF;Vanndoria;5;1;89,5;67,5
2022-23;16;Los Angeles;FK Partizena;0;0;64,5;65,5
2022-23;17;Los Angeles;Der Holzfaller;1;3;66,5;76
2022-23;17;CSKA Moscow Mule;Agghiaggiande;2;1;71;68
2022-23;17;Parter;ACDF;0;3;63,5;77
2022-23;17;FK Partizena;Big Black Cimamori;1;2;69,5;72
2022-23;17;Vanndoria;Olympique Bidet;2;1;73,5;67,5
2022-23;18;Olympique Bidet;Parter;0;2;63,5;74
2022-23;18;Der Holzfaller;CSKA Moscow Mule;4;0;81;65,5
2022-23;18;Big Black Cimamori;Los Angeles;2;1;71;70
2022-23;18;Agghiaggiande;Vanndoria;1;2;67,5;75
2022-23;18;ACDF;FK Partizena;1;2;70;74
2022-23;19;Der Holzfaller;Vanndoria;3;2;80,5;73,5
2022-23;19;Agghiaggiande;Parter;2;3;71,5;76,5
2022-23;19;CSKA Moscow Mule;Los Angeles;0;1;65,5;69
2022-23;19;ACDF;Big Black Cimamori;1;1;68;66
2022-23;19;Olympique Bidet;FK Partizena;1;0;70;65,5
2022-23;20;Parter;Der Holzfaller;1;0;70;62,5
2022-23;20;Big Black Cimamori;Olympique Bidet;1;2;70,5;72
2022-23;20;Los Angeles;ACDF;0;3;63;77
2022-23;20;Vanndoria;CSKA Moscow Mule;0;0;61;64,5
2022-23;20;FK Partizena;Agghiaggiande;0;2;62;72
2022-23;21;Der Holzfaller;FK Partizena;1;0;69;60
2022-23;21;Agghiaggiande;Big Black Cimamori;1;0;67,5;56,5
2022-23;21;CSKA Moscow Mule;Parter;1;2;66,5;71,5
2022-23;21;Vanndoria;Los Angeles;0;2;64,5;72,5
2022-23;21;Olympique Bidet;ACDF;2;3;71,5;77
2022-23;22;Los Angeles;Olympique Bidet;0;2;61;72
2022-23;22;Parter;Vanndoria;2;1;71,5;68,5
2022-23;22;ACDF;Agghiaggiande;2;1;72;68,5
2022-23;22;Big Black Cimamori;Der Holzfaller;0;0;65;61
2022-23;22;FK Partizena;CSKA Moscow Mule;1;1;67,5;70,5
2022-23;23;Agghiaggiande;Olympique Bidet;1;0;66;65
2022-23;23;Der Holzfaller;ACDF;0;1;65,5;67,5
2022-23;23;Parter;Los Angeles;1;2;69,5;73
2022-23;23;CSKA Moscow Mule;Big Black Cimamori;0;3;65,5;76,5
2022-23;23;Vanndoria;FK Partizena;2;2;72,5;75,5
